STREAM VALUE,10TH,EQ,IQ,TOTAL,DATA,STREAM
25,72.86,15.16,21,34.01,1530.06,Arts
25,89.41,17.17,24,39.25,2145.84,Arts
60,81.5,16.92,9,20.84,733.5,Commerce
60,75.43,16.26,19,28.22,1433.17,Commerce
60,55.06,13.72,9,18.28,495.54,Commerce
100,75.07,17.11,11,35.57,825.77,PCB
60,87.05,14.24,5,19.94,435.25,Commerce
100,75.37,14.93,18,34.24,1356.66,PCM
60,69.18,13.29,1,18.15,69.18,Commerce
100,73.79,14.19,21,30.17,1549.59,PCM
60,66.77,18.25,23,28.3,1535.71,Commerce
100,62.93,14.9,16,39.25,1006.88,PCM
100,78.94,15.82,21,39.25,1657.74,PCB
60,59.59,14.57,7,18.64,417.13,Commerce
100,86.07,12.42,15,35.45,1291.05,PCM
100,63.39,15.55,17,29.62,1077.63,PCB
100,70.18,12.74,13,29.75,912.34,PCM
100,74.61,15.71,16,29.05,1193.76,PCM
60,53.1,14.34,15,25.45,796.5,Commerce
60,77.3,17.25,15,31.8,1159.5,Commerce
100,67.94,14.02,18,13.6,1222.92,PCB
100,64.6,14.37,15,15.24,969,PCB
60,61.94,17.17,9,27.01,557.46,Commerce
100,88.91,14.84,20,38.06,1778.2,PCM
25,77.81,16.62,23,33.35,1789.63,Arts
100,67.96,12.28,17,18.11,1155.32,PCM
100,71.53,17.52,20,32.24,1430.6,PCM
60,64.26,14.8,4,25.3,257.04,Commerce
100,74.08,16.97,17,21.78,1259.36,PCM
100,69.38,15.75,10,36.48,693.8,PCB
100,88.57,18.25,21,39.25,1859.97,PCB
100,82.51,13.71,19,37.47,1567.69,PCM
60,73.08,17.03,18,27.56,1315.44,Commerce
60,67.89,18.01,15,27.76,1018.35,Commerce
60,68.24,14.28,15,38.05,1023.6,Commerce
100,69.93,14.4,8,26.54,559.44,PCM
100,75.96,14.92,20,28.93,1519.2,PCM
100,86.62,17.47,8,31.82,692.96,PCB
100,66.11,12.83,18,19.26,1189.98,PCM
60,69.3,17.53,6,27.4,415.8,Commerce
60,68.76,16.45,12,30.75,825.12,Commerce
60,79.85,14.93,24,32.19,1916.4,Commerce
100,73.37,17.93,3,23.51,220.11,PCB
100,82.54,16.6,24,39.25,1980.96,PCM
60,65.78,15.46,17,20.78,1118.26,Commerce
60,75.29,14.45,15,27.06,1129.35,Commerce
60,80.35,14.18,15,20.06,1205.25,Commerce
100,90.74,15.14,20,29.4,1814.8,PCM
60,80.15,15.62,7,22.48,561.05,Commerce
100,54.34,14.52,7,21.54,380.38,PCB
100,91.08,14.57,21,29.59,1912.68,PCB
60,69.28,17.01,15,21.38,1039.2,Commerce
100,83.04,12.97,19,30.65,1577.76,PCM
60,66.16,15.98,3,24.45,198.48,Commerce
60,64.94,18.25,10,22,649.4,Commerce
100,68.08,15.54,14,23.11,953.12,PCB
100,81.1,16.27,21,34.52,1703.1,PCB
60,75.38,15.56,17,30,1281.46,Commerce
60,66.63,14.45,10,22.54,666.3,Commerce
60,78.73,16.14,8,26.25,629.84,Commerce
100,68.21,14.62,20,29.31,1364.2,PCM
100,92,14.69,1,29.71,92,PCB
100,74,15.35,17,27.03,1258,PCB
60,69.99,13.53,6,31.22,419.94,Commerce
100,77.26,11.49,16,31.68,1236.16,PCB
60,65.84,13.19,9,19.83,592.56,Commerce
100,72.47,15.52,9,24.69,652.23,PCB
60,68.67,16.17,19,13.03,1304.73,Commerce
100,81.33,17.06,21,31.17,1707.93,PCB
25,69.38,12.88,12,23.12,832.56,Arts
60,73.66,16.89,14,34.34,1031.24,Commerce
100,81.33,15.78,23,26.59,1870.59,PCM
100,66.69,17.16,19,18.98,1267.11,PCB
100,77.39,15.13,11,30.95,851.29,PCB
100,65.92,16.98,19,29.12,1252.48,PCB
100,78.99,17.33,12,23.84,947.88,PCB
100,70.98,13.95,15,29.36,1064.7,PCM
25,68.54,13.96,21,34.39,1439.34,Arts
60,60.7,18.01,6,17.54,364.2,Commerce
100,68.84,14.92,17,31.81,1170.28,PCM
100,83.35,14.68,16,22.77,1333.6,PCB
100,83.62,16.44,3,34.56,250.86,PCB
60,62.56,11.67,5,20.08,312.8,Commerce
100,80.95,15.71,10,37.27,809.5,PCB
100,75.76,13.14,9,18.63,681.84,PCB
60,71.67,17.28,20,23.73,1433.4,Commerce
60,67.36,17.28,11,26.72,740.96,Commerce
100,68.05,14.47,1,17.43,68.05,PCB
100,82.34,15.09,20,35.26,1646.8,PCM
60,63.78,12.75,6,25.89,382.68,Commerce
100,63.55,16.02,18,28.08,1143.9,PCM
100,66.58,12.66,7,20.51,466.06,PCB
100,69.42,12.94,8,31.23,555.36,PCM
25,65.86,14.87,9,27.9,592.74,Arts
100,65.5,16.25,19,31.42,1244.5,PCM
100,64.5,15.52,0,20.13,0,PCB
100,70.39,14.13,22,27.93,1548.58,PCB
100,88.37,16.09,23,39.25,2032.51,PCM
100,86.34,16.28,21,27.55,1813.14,PCM
100,79.15,15.53,11,22.81,870.65,PCB
100,74.98,18.25,15,26.93,1124.7,PCB
60,73.79,17.95,11,39.25,811.69,Commerce
100,88.31,15.26,20,39.11,1766.2,PCB
100,78.75,15.53,6,24.97,472.5,PCB
60,58.16,16.36,20,28.14,1163.2,Commerce
100,82.97,17.29,19,25.4,1576.43,PCM
100,73.48,14.14,18,29.8,1322.64,PCM
100,68.4,13.87,17,37.1,1162.8,PCM
100,54.46,15.36,5,22.28,272.3,PCB
100,75.74,15.04,24,37.9,1817.76,PCB
100,65.92,16.66,18,27.53,1186.56,PCM
100,70.3,17.82,9,16.11,632.7,PCB
100,66.98,15.69,18,23,1205.64,PCB
100,75.88,15.28,9,20.18,682.92,PCB
60,67.28,16.41,18,22.2,1211.04,Commerce
100,57.84,10.43,8,23.62,462.72,PCB
100,62.57,12.89,7,19.26,437.99,PCB
100,72.41,14.34,16,32.26,1158.56,PCB
100,78.5,13.69,20,32.28,1570,PCM
100,89.86,14.89,23,39.25,2066.78,PCM
25,75.95,15.21,23,37.48,1746.85,Arts
100,79.52,15.32,20,28.12,1590.4,PCB
100,76.83,15.76,20,26.92,1536.6,PCM
60,58.59,15.53,6,25.92,351.54,Commerce
100,69.97,15.76,10,21.74,699.7,PCM
100,67.28,16.18,18,33.62,1211.04,PCM
100,72.27,13.8,9,29.84,650.43,PCB
100,77.3,14.58,16,22.64,1236.8,PCB
25,82.93,14.53,14,34.97,1161.02,Arts
100,78.14,15.19,24,30.29,1875.36,PCM
100,73.45,15.72,18,33.26,1322.1,PCM
25,76.11,15.2,10,26.54,761.1,Arts
100,82.48,13.73,17,27.32,1402.16,PCB
100,74.82,15.89,12,27.88,897.84,PCB
60,64.32,12.82,17,28.93,1093.44,Commerce
60,66.55,16.1,4,18.21,266.2,Commerce
100,85.72,14.03,20,35.65,1714.4,PCB
25,77.22,16.49,21,26.45,1621.62,Arts
100,87.43,16.42,21,23.44,1836.03,PCB
60,67.1,13.68,11,32.11,738.1,Commerce
100,76.06,16.34,12,17.12,912.72,PCB
100,79.74,13.31,16,35.75,1275.84,PCM
25,67.6,15.85,19,24.78,1284.4,Arts
100,81.19,17.34,13,30.42,1055.47,PCM
100,77.1,15.86,3,17.98,231.3,PCB
100,72.93,14.83,21,28.13,1531.53,PCM
100,78.55,16.36,19,28.78,1492.45,PCM
60,83.86,14.66,20,34.97,1677.2,Commerce
60,61.89,15.42,11,19.09,680.79,Commerce
60,62.53,15.96,8,27.7,500.24,Commerce
100,85.76,14.17,24,36.48,2058.24,PCM
100,79.68,15.15,16,25.21,1274.88,PCB
100,64.84,16.88,20,36.65,1296.8,PCB
60,75.4,14.52,24,39.25,1809.6,Commerce
100,92,16.9,24,38.68,2208,PCM
100,78.33,16.84,14,20.45,1096.62,PCB
100,74.16,14.24,16,33.45,1186.56,PCM
60,72.11,13.71,16,31.81,1153.76,Commerce
60,79.52,16.08,13,32.23,1033.76,Commerce
100,64.89,14.85,0,23.4,0,PCB
100,81.16,14.01,22,39.25,1785.52,PCM
60,52.58,13.54,12,14.32,630.96,Commerce
25,62.55,14.2,13,24.2,813.15,Arts
100,89.03,15.44,17,39.25,1513.51,PCM
100,68.28,16.09,8,29.27,546.24,PCB
60,58.18,17.86,21,29.83,1221.78,Commerce
100,86.41,13.88,22,39.25,1901.02,PCM
100,76.7,16.6,15,35.64,1150.5,PCM
100,81.08,13.69,11,20.69,891.88,PCB
100,73.32,15.22,16,32.56,1173.12,PCB
60,80,18.25,18,26.99,1440,Commerce
60,51.24,15.17,18,28.38,922.32,Commerce
100,80.9,13.63,8,25.26,647.2,PCB
25,81.02,17.2,22,30.33,1782.44,Arts
100,79.11,16.03,22,34.32,1740.42,PCM
100,66.42,12.99,16,22.58,1062.72,PCB
25,70.3,16.96,15,32.9,1054.5,Arts
100,92,17.95,15,34.95,1380,PCB
60,85.71,17.61,21,37.36,1799.91,Commerce
100,61.42,13.42,15,32.16,921.3,PCM
100,88.63,12.89,19,39.25,1683.97,PCM
60,62.25,14.46,15,24.86,933.75,Commerce
100,74.93,15.24,13,35.07,974.09,PCB
100,78.26,16.82,20,25.87,1565.2,PCB
100,80.04,11.56,20,21.21,1600.8,PCM
60,76.87,17.46,7,24.47,538.09,Commerce
60,67.68,12.89,20,21.07,1353.6,Commerce
60,67.55,15.87,20,25.08,1351,Commerce
100,59.15,15.04,18,18.22,1064.7,PCB
60,71.64,15.07,19,27.1,1361.16,Commerce
60,66.96,15.38,19,29.39,1272.24,Commerce
100,69.95,17.29,4,14.91,279.8,PCB
100,76.23,18.25,17,35.97,1295.91,PCB
100,69.9,12.57,0,20.64,0,PCM
100,78.78,13.06,9,18.61,709.02,PCB
60,80.94,15.56,7,31.91,566.58,Commerce
100,60.7,15.96,14,36.22,849.8,PCM
60,74.3,16.67,19,32.55,1411.7,Commerce
60,74.07,13.58,8,39.25,592.56,Commerce
100,74.93,14.37,18,32.08,1348.74,PCM
60,63.53,16.91,18,22.53,1143.54,Commerce
100,67.43,14.07,9,15.25,606.87,PCB
25,71.35,13.86,21,25.54,1498.35,Arts
100,87.31,13.37,10,21.51,873.1,PCB
100,77.11,14.7,22,22.06,1696.42,PCB
60,84.39,15.18,11,37.12,928.29,Commerce
25,75.74,16.45,23,39.25,1742.02,Arts
60,68.1,14.46,8,28.14,544.8,Commerce
100,75.73,15.5,18,35.61,1363.14,PCB
100,81.28,16.8,17,26.57,1381.76,PCB
60,49.55,15.59,16,25.39,792.8,Commerce
100,86.79,15.44,20,39.25,1735.8,PCM
60,72.05,15.92,17,37.89,1224.85,Commerce
60,69.43,14.4,20,19.98,1388.6,Commerce
100,85.96,16.84,22,27.33,1891.12,PCM
25,64.77,13.64,14,21.64,906.78,Arts
60,70.85,17.21,16,19.19,1133.6,Commerce
100,60.72,15.69,6,13.85,364.32,PCB
100,73.99,15.79,14,28.19,1035.86,PCB
100,67.4,14.22,12,35.19,808.8,PCB
100,66.39,16.59,18,37.27,1195.02,PCM
60,69.77,17.23,0,19.9,0,Commerce
100,76.39,16.86,19,27.31,1451.41,PCM
100,73.67,15.45,15,26.68,1105.05,PCM
100,78.35,12.73,9,20.33,705.15,PCB
100,78.93,15.27,17,29.29,1341.81,PCB
25,87.91,12.9,23,39.25,2021.93,Arts
100,64.06,17.15,19,26.72,1217.14,PCM
60,61.99,12.85,12,29.72,743.88,Commerce
60,67.24,12.7,18,22.73,1210.32,Commerce
100,78.5,16.95,17,26.38,1334.5,PCB
60,73.85,15.32,15,19.9,1107.75,Commerce
25,67.59,12.72,20,39.25,1351.8,Arts
60,67.24,16.2,10,24.06,672.4,Commerce
100,86.4,16.19,11,21.22,950.4,PCB
100,69.88,14.33,22,28.02,1537.36,PCM
100,89.62,16.8,15,37.34,1344.3,PCM
100,91.07,15.23,17,33.8,1548.19,PCM
100,64.44,14.4,15,21.8,966.6,PCM
100,91.46,17.09,18,32.29,1646.28,PCM
100,59,16.66,11,15.73,649,PCB
60,66.12,14.31,6,22.87,396.72,Commerce
60,62.61,16.69,18,17.2,1126.98,Commerce
100,86.24,13.13,19,33.13,1638.56,PCM
100,81.79,17.81,23,26.8,1881.17,PCB
100,88.66,13.94,9,29.44,797.94,PCB
25,72.85,16.63,19,32.89,1384.15,Arts
100,91,16.48,22,35.08,2002,PCB
60,66.1,15.78,5,17.83,330.5,Commerce
60,63.52,16.6,17,30.13,1079.84,Commerce
60,74.62,15.42,22,29.14,1641.64,Commerce
60,81.66,17.72,19,37.71,1551.54,Commerce
60,72.26,15.31,11,14.93,794.86,Commerce
60,78.71,14.99,19,21.39,1495.49,Commerce
100,62.33,12.2,20,21.39,1246.6,PCB
25,88.11,16.98,24,32.45,2114.64,Arts
100,78.86,16,15,26.82,1182.9,PCB
100,77.5,16.05,22,24.36,1705,PCB
100,63.42,16.03,8,18.51,507.36,PCB
100,73.8,16.01,17,34.26,1254.6,PCM
60,61.6,12.08,16,14.67,985.6,Commerce
100,78.74,16.74,7,28.87,551.18,PCB
60,57.82,13.84,0,16.5,0,Commerce
100,66.23,12.71,14,29.18,927.22,PCM
100,75.01,12.56,8,27.82,600.08,PCB
25,72.11,15.42,18,24.43,1297.98,Arts
100,73.42,16.75,14,19.94,1027.88,PCB
60,54.38,18.21,16,14.67,870.08,Commerce
100,77.67,16.83,20,26.5,1553.4,PCB
60,71.77,16.64,9,21.55,645.93,Commerce
100,81.69,12.81,15,26.04,1225.35,PCM
100,88.71,11.96,5,32.2,443.55,PCB
60,54.85,15.81,13,20.19,713.05,Commerce
60,67.41,15.56,18,23.78,1213.38,Commerce
60,67.73,14.19,6,19.25,406.38,Commerce
100,65.2,16.3,17,23.34,1108.4,PCB
60,61.05,15.14,8,22.85,488.4,Commerce
60,65.89,14.07,0,18.92,0,Commerce
60,65.12,17.33,21,27.63,1367.52,Commerce
100,85.44,16.61,1,32.86,85.44,PCB
25,66.1,13.99,11,22.48,727.1,Arts
60,50.54,14.71,12,29.41,606.48,Commerce
60,91.4,15.9,11,35.22,1005.4,Commerce
100,84.4,14.83,22,39.25,1856.8,PCM
100,61.79,17.9,11,28.33,679.69,PCB
100,65.71,14.01,13,22.46,854.23,PCM
100,83.46,15.41,13,24.5,1084.98,PCM
60,60.27,15.68,21,22.72,1265.67,Commerce
100,56.99,14.77,21,19.22,1196.79,PCB
100,74.24,14.17,17,30.12,1262.08,PCM
100,85.52,15.29,2,26.85,171.04,PCB
100,52.17,15.76,15,23.71,782.55,PCB
100,66.66,15.82,14,18.14,933.24,PCB
100,78.24,12.72,15,24.38,1173.6,PCM
100,79.11,16.92,22,32.05,1740.42,PCB
100,66.73,15.03,17,15.18,1134.41,PCB
100,70.5,16.76,20,25.98,1410,PCB
60,73.02,16.09,20,30.96,1460.4,Commerce
60,71.73,15.07,16,29.07,1147.68,Commerce
60,74.73,15.62,19,31.96,1419.87,Commerce
100,73.89,17.15,19,29.07,1403.91,PCB
60,62.97,14.29,7,23.59,440.79,Commerce
60,65.04,13.14,18,14.52,1170.72,Commerce
100,62.99,15.6,14,13.37,881.86,PCB
100,78.2,15.85,19,30.79,1485.8,PCB
100,84.44,17.28,20,39.25,1688.8,PCM
60,77.21,18.25,8,25.15,617.68,Commerce
60,82.25,14.22,10,28.79,822.5,Commerce
100,64.05,16.28,19,36.57,1216.95,PCM
100,70.57,15.65,18,23.28,1270.26,PCM
60,70.63,15.07,19,25.95,1341.97,Commerce
100,75.73,18.25,19,28.68,1438.87,PCB
100,86.66,15.3,17,34.1,1473.22,PCM
100,77.42,14.2,23,23.81,1780.66,PCM
60,59.31,15.53,9,26.66,533.79,Commerce
100,67.35,16.14,16,39.25,1077.6,PCM
60,75.85,15.65,15,34.52,1137.75,Commerce
60,73.07,15.04,9,34.58,657.63,Commerce
100,70.82,16.83,18,30.85,1274.76,PCB
100,71.52,12.88,18,18.08,1287.36,PCB
60,71.07,17.84,17,28.49,1208.19,Commerce
100,63.69,14.41,11,26.94,700.59,PCB
25,92,14.69,23,39.25,2116,Arts
100,86.39,15.83,20,31.5,1727.8,PCM
100,86.57,17.71,21,29.99,1817.97,PCB
60,65.56,15.9,18,22.77,1180.08,Commerce
100,90.29,14.4,21,37.73,1896.09,PCM
100,79.84,13.91,17,31.99,1357.28,PCM
25,76.97,14.76,18,33.41,1385.46,Arts
100,47.04,15.31,0,24.65,0,PCB 
60,73.73,13.95,17,27.23,1253.41,Commerce
60,58.53,14.82,2,22.45,117.06,Commerce
60,78.51,15.69,9,28.62,706.59,Commerce
25,86.1,16.53,21,39.25,1808.1,Arts
100,77.46,14.13,23,35.37,1781.58,PCM
100,77.15,15.66,6,19.63,462.9,PCB
100,75.15,17.04,18,37.17,1352.7,PCM
100,66.8,14.7,15,19.95,1002,PCB
25,75.27,15.87,22,25.83,1655.94,Arts
60,85.27,15.44,22,34.86,1875.94,Commerce
100,82.39,15.62,17,30.67,1400.63,PCB
100,73.47,13.51,7,24.43,514.29,PCB
100,76.91,17.26,14,25.88,1076.74,PCB
60,67.54,18.08,5,28.52,337.7,Commerce
100,58.61,14.06,1,28.65,58.61,PCB
100,82.62,15.07,16,27.47,1321.92,PCM
60,66.24,12.36,14,13.6,927.36,Commerce
100,89.85,17.07,23,36,2066.55,PCM
100,74.08,16.03,13,28.89,963.04,PCM
100,70.87,16.83,16,20.74,1133.92,PCB
60,61.46,13.13,17,29.69,1044.82,Commerce
100,73.98,14.4,6,24.71,443.88,PCM
100,64.47,16.55,16,28.89,1031.52,PCM
100,59.83,12.36,17,23.72,1017.11,PCM
100,81.42,12.97,17,31.21,1384.14,PCM
100,75.95,14.36,21,26.19,1594.95,PCB
25,78.67,15.28,5,39.25,393.35,Arts
100,81.52,15.45,10,26.63,815.2,PCB
100,63.49,16.98,11,27.7,698.39,PCB
60,62.15,14.49,14,21.99,870.1,Commerce
100,88.54,14.31,10,28.28,885.4,PCB
60,71.53,17.65,23,29.37,1645.19,Commerce
60,77.29,14.99,18,34.97,1391.22,Commerce
100,78,16.41,16,22.56,1248,PCB
60,60.8,14.83,16,29.99,972.8,Commerce
100,75.59,12.13,19,29.24,1436.21,PCB
100,81.48,13.65,19,24.72,1548.12,PCM
25,77.79,15.67,23,32.81,1789.17,Arts
100,69.18,16.68,11,15.42,760.98,PCB
100,69.63,15.96,9,25.29,626.67,PCB
60,56.38,12.57,4,15.69,225.52,Commerce
60,60.44,16.06,23,23.72,1390.12,Commerce
25,77,16.39,24,36.13,1848,Arts
100,80.4,17.41,20,19.97,1608,PCM
100,71.26,13.32,5,14.99,356.3,PCB
100,73.93,16.14,14,28.73,1035.02,PCB
60,78.13,17.39,18,25.02,1406.34,Commerce
60,90.89,16.2,17,35.24,1545.13,Commerce
60,70.85,15.48,10,32.83,708.5,Commerce
100,84.83,15.26,4,23.01,339.32,PCB
60,54.98,16.29,18,24.79,989.64,Commerce
100,77.11,15.92,16,23.09,1233.76,PCB
100,65.87,14.84,0,22.84,0,PCB
60,51.81,17.14,7,15.47,362.67,Commerce
100,81.78,13.73,15,32.18,1226.7,PCM
100,71.08,14.27,18,34.09,1279.44,PCM
100,85.92,15.45,10,32.77,859.2,PCB
60,69.93,16.05,21,30.25,1468.53,Commerce
25,73.68,15.5,18,35.92,1326.24,Arts
100,85.92,15.18,10,25.27,859.2,PCB
100,91.22,16.72,22,33.77,2006.84,PCM
100,65.13,13.59,21,28.69,1367.73,PCB
60,67.5,16.91,20,31.21,1350,Commerce
100,76.05,15.71,8,27.8,608.4,PCB
60,66.35,13.12,14,25.44,928.9,Commerce
100,73.27,14.38,17,26.75,1245.59,PCM
60,56.37,17.36,7,13.86,394.59,Commerce
100,67.79,13.81,5,29.42,338.95,PCM
100,79.39,13.94,18,30.68,1429.02,PCB
100,92,16.95,17,28.1,1564,PCM
60,59.01,15.74,3,21.44,177.03,Commerce
100,71.37,16.6,0,15.28,0,PCB
60,83.16,15.67,18,32.03,1496.88,Commerce
100,74.38,13.53,21,29.45,1561.98,PCM
100,75.37,17.75,19,23.44,1432.03,PCB
60,75.62,14.18,20,26.15,1512.4,Commerce
100,84.3,14.73,14,39.25,1180.2,PCB
100,80.12,17.37,7,25.04,560.84,PCB
60,79.47,13.84,22,39.25,1748.34,Commerce
100,85.13,15.58,18,39.25,1532.34,PCM
60,69.27,14.69,19,36.37,1316.13,Commerce
100,66.2,14.14,22,29.31,1456.4,PCM
100,62.79,14.03,13,19.28,816.27,PCM
100,73.2,17.51,4,21.99,292.8,PCB
60,57.38,14.9,19,29.6,1090.22,Commerce
100,70.29,17.47,6,22.1,421.74,PCB
100,69.97,12.42,18,27.08,1259.46,PCB
100,57.43,16.7,15,25.67,861.45,PCB 
25,80.54,16.63,20,39.25,1610.8,Arts
60,78.15,15.35,16,27.64,1250.4,Commerce
100,83.05,15.84,18,38.74,1494.9,PCM
100,71,15.95,17,29.55,1207,PCM
60,52.82,17.23,13,24.68,686.66,Commerce
60,48.8,16.35,0,17.44,0,Commerce
60,67.18,12.23,18,27.52,1209.24,Commerce
100,74.92,16.21,16,23.48,1198.72,PCB
100,59.8,15.98,21,25.63,1255.8,PCM
60,63.59,14.25,22,29.75,1398.98,Commerce
25,69.66,15.54,20,39.25,1393.2,Arts
100,64.7,13.3,19,26.93,1229.3,PCB
25,71.5,16.45,18,36.13,1287,Arts
60,49.42,15.1,0,23.04,0,Commerce
100,64.55,15.27,6,24.99,387.3,PCB
100,70.08,16.29,16,35.09,1121.28,PCM
100,57.62,15.69,14,24.44,806.68,PCB 
100,81.62,13.6,19,30.04,1550.78,PCB
100,69.34,15.02,16,24.9,1109.44,PCM
60,76.64,14.76,17,30.17,1302.88,Commerce
60,52.41,17.44,20,19.61,1048.2,Commerce
100,58.53,13.17,13,16.71,760.89,PCB
100,91.29,16.68,16,39.25,1460.64,PCM
60,73.44,15.99,12,27.55,881.28,Commerce
60,49.39,12.61,14,23.73,691.46,Commerce
100,88.55,18.13,19,38.56,1682.45,PCM
60,84.58,13.47,8,33.45,676.64,Commerce
100,91.72,15.38,23,39.25,2109.56,PCM
60,68.19,17.12,14,35.49,954.66,Commerce
100,53.67,13.48,18,31.43,966.06,PCB 
100,78.34,13.93,20,27.88,1566.8,PCM
60,59.94,12.67,5,27.67,299.7,Commerce
100,82.69,16.6,19,29.35,1571.11,PCM
100,80.61,16.34,21,39.25,1692.81,PCM
100,71.03,14.8,20,28.44,1420.6,PCM
100,92,13.61,12,31.61,1104,PCB
100,70.32,16.36,12,13.16,843.84,PCB
60,66.55,15.49,12,30.4,798.6,Commerce
100,72.44,15.82,16,22.89,1159.04,PCB
60,44.29,16.72,18,15.57,797.22,Commerce
100,86.21,16.43,20,29,1724.2,PCB
100,81.62,15.56,20,35.91,1632.4,PCM
60,62.95,12.62,9,14.45,566.55,Commerce
60,77.76,17.44,18,20.64,1399.68,Commerce
100,76.37,17.28,3,23.84,229.11,PCB
100,86.01,17.06,18,28.85,1548.18,PCM
60,68.23,15.07,15,26.19,1023.45,Commerce
25,62.02,17.11,21,29.62,1302.42,Arts
60,71.83,14.64,16,28.58,1149.28,Commerce
60,62.04,14.86,7,22.5,434.28,Commerce
25,65.93,14.19,21,31.55,1384.53,Arts
100,71.55,14.74,15,31.57,1073.25,PCB
60,78.08,16.75,18,30.57,1405.44,Commerce
100,67.31,15.01,11,15,740.41,PCB
100,83.01,14.92,19,38.67,1577.19,PCM
100,69.13,17.95,12,24.2,829.56,PCB
60,66.47,14.8,18,31.33,1196.46,Commerce
100,87.73,15.24,19,39.25,1666.87,PCM
100,88.33,15.12,14,34.99,1236.62,PCB
60,71.31,17.95,10,12.5,713.1,Commerce
25,72.53,13.84,16,29.23,1160.48,Arts
100,80.67,14.45,13,26.89,1048.71,PCB
60,72.37,15.77,13,30.24,940.81,Commerce
60,63.99,12.43,2,17.05,127.98,Commerce
100,74.52,10.85,15,27.13,1117.8,PCM
60,68.18,13.79,17,25.64,1159.06,Commerce
100,92,16.53,20,38.41,1840,PCM
100,66.99,15.78,1,19.94,66.99,PCB
100,77.23,15.35,6,23.39,463.38,PCB
100,83.65,17.89,19,24.38,1589.35,PCB
100,79.68,13.15,18,25.76,1434.24,PCB
100,69.19,16.01,19,33.23,1314.61,PCB
100,75.74,13.44,7,23.57,530.18,PCB
60,77.36,16.23,19,29.99,1469.84,Commerce
100,77.25,16.81,20,23.33,1545,PCB
100,82.33,14.23,10,38.54,823.3,PCM
60,79.94,17.98,11,30.85,879.34,Commerce
100,67.24,16.21,17,20.15,1143.08,PCB
100,75.71,16.89,24,35.82,1817.04,PCB
100,85.02,13.04,15,35.13,1275.3,PCM
60,84.06,15.19,18,33.18,1513.08,Commerce
60,72.38,13.5,10,29.62,723.8,Commerce
25,84.82,18.25,21,39.25,1781.22,Arts
60,83.03,16.73,24,39.25,1992.72,Commerce
60,72.34,15.36,11,15.99,795.74,Commerce
100,73.43,14.82,19,25.54,1395.17,PCM
100,89.94,17.35,24,39.25,2158.56,PCM
100,72.09,14.66,10,34.55,720.9,PCM
100,84.25,15.47,18,27.09,1516.5,PCB
100,52.64,12.27,12,21.48,631.68,PCB
100,74.52,13.75,1,21.11,74.52,PCB
100,78.75,16.8,11,26.56,866.25,PCB
25,82.11,17.18,21,37.48,1724.31,Arts
100,66.18,14.11,13,35.83,860.34,PCB
60,64.43,17.78,14,38.19,902.02,Commerce
100,64.71,14.65,8,27.94,517.68,PCB
100,64.08,15.28,15,27.01,961.2,PCM
60,65.91,14.36,9,17.16,593.19,Commerce
100,72.04,17.84,17,35.27,1224.68,PCM
100,81.84,13.25,19,28.77,1554.96,PCM
60,65.98,15.75,7,29.56,461.86,Commerce
100,84.65,15.14,20,33.98,1693,PCM
100,89.82,13.85,20,34.83,1796.4,PCM
100,71.16,13.16,23,31.8,1636.68,PCM
25,80.96,16.17,20,39.25,1619.2,Arts
60,76.03,14.56,6,24.79,456.18,Commerce
100,68.95,18.2,17,22.66,1172.15,PCM
60,76.12,16.32,15,25.57,1141.8,Commerce
60,64.49,15.64,21,31.76,1354.29,Commerce
100,67.9,13.56,11,24.52,746.9,PCB
100,88.23,15.95,12,19.03,1058.76,PCB
100,69.46,15.67,22,29.57,1528.12,PCB
60,71.84,15.08,21,32.95,1508.64,Commerce
60,71.26,14.01,4,32.87,285.04,Commerce
60,60.25,15.82,1,23.46,60.25,Commerce
100,68.49,15.55,13,34.42,890.37,PCM
100,68.4,15.13,17,27.07,1162.8,PCM
100,66.38,17.6,19,28.67,1261.22,PCB
100,69.35,16.67,17,33.88,1178.95,PCB
100,85.44,16.47,17,39,1452.48,PCM
100,85.8,17.88,20,31.46,1716,PCB
100,72.02,17.15,17,30.3,1224.34,PCB
100,72.48,15.04,14,24.44,1014.72,PCB
100,77.87,17.16,20,39.25,1557.4,PCM
100,59.31,13.65,7,17.75,415.17,PCB
100,86.28,16.78,22,34.74,1898.16,PCM
100,79.43,14.43,16,30.84,1270.88,PCM
25,83.29,17.38,24,39.25,1998.96,Arts
60,83.7,14.25,20,39.25,1674,Commerce
60,63.62,16.52,18,24.55,1145.16,Commerce
60,60.25,16.3,18,23.06,1084.5,Commerce
25,67.02,14.45,23,33.4,1541.46,Arts
100,72.85,15.5,5,15.17,364.25,PCB 
100,75.95,16.91,9,19.54,683.55,PCB
100,82.6,11.66,5,33.32,413,PCB
60,69.03,16.69,18,26.77,1242.54,Commerce
100,74.71,15.27,13,22.88,971.23,PCB
60,65.93,16.2,20,29.27,1318.6,Commerce
100,81.4,16.57,23,37.48,1872.2,PCM
100,71.42,15.87,16,21.42,1142.72,PCB
100,67.34,14.16,17,32.82,1144.78,PCM
100,74.47,15.37,3,25.6,223.41,PCM
100,69.88,15.83,14,17.12,978.32,PCB
100,84.26,14.28,12,20.99,1011.12,PCM
25,78.06,15.21,21,29.39,1639.26,Arts
100,74.9,15.3,19,39.25,1423.1,PCB
