10th,12th,IQ ,O,C,E,A,N,STREAM
92.9,81.14,12,59.9,46.4,44.9,57.8,53.5,Commerce
78.27,53.75,26,46.4,49.6,43.6,65.5,44.3,PCM
94.73,81.38,11,37.8,58.1,30.8,46.3,45.3,Commerce
85.92,76.21,20,64.6,57.3,51.6,57.1,33.6,PCM
78.07,80.84,64,54.2,61,56.9,54.1,56.7,Commerce
88.55,77.19,41,89.5,81.2,70.6,71.5,26.6,Commerce
91.12,74.47,29,70.9,81.8,73.4,66.1,52.9,Commerce
89.56,68.43,13,51.8,71.4,46.3,68.2,46.7,PCB
88.6,77.81,66,55.4,83.1,97,67.9,23,Commerce
93.29,76.35,28,58.5,84.6,82.1,54.9,30.6,PCM
79.91,63.97,64,51.4,44.5,46.6,70.5,43.7,PCM
93.42,78.83,61,75.3,41,47.9,60.3,23,PCB
99.22,79.94,23,44.3,66.1,48.9,70,24.5,PCB
99.22,55.31,22,69.7,76,71.8,84.4,23,Commerce
87.96,78.43,33,82.1,84.6,79.2,86.4,23,PCB
96.33,47.81,57,78.1,82,77.1,71.2,23,Commerce
75.85,77.84,14,84.3,87.9,93.5,91.8,23,PCM
90.71,63.05,28,48,60.5,70.8,61,56.8,PCB
93.15,81.72,48,51.3,45,52.9,34.1,23,PCB
95.89,80.58,66,77.4,44.1,52.3,53.5,29.6,PCB
90.85,74.13,23,65.3,45.1,71.7,64.1,39.7,PCB
91.15,80.14,9,54.9,52.6,55.1,52.4,33.2,Commerce
99.22,43.55,24,35,63,33,52.2,23.7,Commerce
92.06,47.01,12,74.8,77,45.7,69.1,40.9,PCB
85.75,88.91,73,87.9,39.6,65.4,62.6,43.8,Commerce
91.33,75.79,39,62.8,85.7,53.8,48.5,23,Commerce
90.66,78.01,68,52.1,52.6,56.8,71,40.7,Commerce
89.99,76.53,35,47.5,47.4,47.2,44.5,44.6,PCB
90.85,52.34,23,48.5,44.7,42.7,51.8,23,Arts
79.26,80.87,68,66.3,48.5,64.8,57.7,23,PCM
86.57,84.66,8,38.2,59.6,27.5,47.3,50.8,Commerce
90.12,59.79,49,35,55.5,33.4,39,41.8,Commerce
85.89,81.78,32,75.7,84.5,85.7,53.7,23,Commerce
89.35,78.18,82,43.8,64.2,53.2,71,75.4,PCB
89.61,75.47,50,56.8,90.9,60.2,72.6,26.8,Commerce
96.02,50.36,34,50.6,90.5,59.2,63.4,40.2,Commerce
84.15,40,7,79.1,56.5,58.9,79,50.1,Arts
90.05,79.29,34,78.3,73.2,63.9,69.8,33.8,Commerce
78.86,78.03,18,48.5,60.5,41.2,44.6,23,Commerce
93.86,75.28,54,57.5,79.4,37.2,72,29.6,PCB
95.9,75.39,26,36.4,82.3,54.2,79.1,23,Commerce
94.22,81.79,7,67.1,52.9,54.6,65.2,25.5,Commerce
86.07,76.35,13,46.9,56.5,58.6,50.8,32,PCB
93.23,77.98,47,57.7,51.8,60.1,74.2,40.3,PCM
99.22,74.78,23,47.7,61.7,61.8,76.4,23,PCB
92.71,76.05,18,54.6,87.9,69.5,60.1,36.4,Commerce
81.61,76.08,67,72,55.8,64.7,92.5,23.8,Commerce
93.47,40,72,46.1,55.3,61,68.4,39,PCM
94.29,74.33,17,54.5,91.6,47.6,68.6,45.5,PCB
86.21,46.58,3,59.2,69.9,45.5,59.3,39.7,Commerce
99.22,79.55,27,54.3,82.5,40.2,82.8,65.3,PCB
97.98,76.35,27,60,15.2,57.8,85.6,23.7,PCM
92.6,41.41,56,71.7,61,63.4,98.2,23,PCB
95.75,75.72,64,77.6,83.5,59.5,81.4,29.6,Commerce
89.23,79.44,48,75.5,90,60.9,68.2,38.6,PCM
72.92,76.53,67,55.1,62.3,75.1,74,34.9,PCB
92.35,75.85,23,55.6,75.8,71.7,65.6,30.4,PCB
85.57,78.95,56,54.3,35.4,53.1,49.4,47.8,Commerce
94.57,75.45,12,78.2,92.5,78.5,69.5,23,PCB
93.67,81.01,33,66.9,72.8,71.5,73.4,34.3,PCM
82.67,78.77,64,70.5,60.1,46.3,74.9,24.3,Commerce
93.99,76.63,43,72.9,79.8,79.8,66.6,40.5,Commerce
88.88,80.32,5,72,55.1,67.4,43.8,42.1,Arts
82.14,80.47,30,49.2,38.3,24.3,55.3,32.8,Commerce
83.68,76.34,18,68.1,74.3,67.1,69.4,23,Commerce
91.7,77.83,13,70,78.7,85.1,74.5,24.4,Commerce
91.44,78.68,64,66.2,57.2,52.9,86.2,49.4,Arts
88.92,76.94,10,65.1,36.4,48.4,55.1,23,PCB
95.83,78.92,24,39.7,53.9,39.8,51.5,34.3,PCB
98.51,78.56,16,57.1,76.7,62.1,41.7,41.7,PCB
94.22,77.38,20,51.1,92,68.7,94.1,23,Commerce
91.92,76.22,16,67.2,57,60.8,74.2,39.2,Arts
91.07,88.73,14,44.7,46.2,43.3,63.8,50.1,Arts
95.23,78.24,23,52.7,42.7,58,85.1,39,Arts
86.05,77.89,17,52.1,81,37.2,62,46.5,PCM
97.04,76.76,18,55.4,77.1,56.8,70.4,29.6,Commerce
83.29,79.4,31,66.8,89.7,54,54.1,26.6,PCB
83.97,74.01,22,71.2,86.3,74.5,81.4,32.8,PCB
95.74,82.1,16,70,75.2,48.9,68,45.7,PCB
93.07,76.96,69,55.9,48.9,55.5,58,37.9,Commerce
91.36,79.98,49,50.5,60.1,55.8,42.5,60.1,Commerce
90.85,98.87,19,39.8,48,30,57,50.8,PCB
99.22,79.06,67,38.3,59.5,45,38.5,34.8,PCB
89.34,84.3,7,45.5,59.3,52.9,72.6,43.6,PCB
70.81,80.91,11,57.3,80.2,62.8,56.1,23.7,Commerce
95.25,73.24,21,41.8,75.3,42.8,48.1,44.9,PCM
92.3,46.88,19,41.5,41.9,40.2,55.7,23,PCB
89.9,76.85,52,63.9,91.7,81.5,78.2,23,Arts
93.47,81.35,16,67.1,53.8,58.7,69.6,45.8,PCB 
96.1,78.89,20,46.8,64.7,68.9,59.5,64.7,PCB
98.67,79.57,13,62.4,48.2,23.4,58.3,34.4,PCM
91.49,91.87,26,51.8,77.4,51,52.4,40.5,Commerce
65,78.92,29,51.3,74.6,80.6,77.3,36.5,PCM
92.81,81.96,28,35,70.3,31.2,62.2,27.7,Commerce
90.39,77.6,46,70.8,90.7,68.6,83.4,23,PCB
95.06,80.21,27,54.8,65,53.5,89.6,30.8,PCM
94.67,77.43,50,66.5,76,62.8,93.2,27.4,PCB
88.96,76.77,21,64,80.5,33.7,74.6,33.3,PCB
89.55,79.1,64,62.9,59.8,73.8,73.2,38.7,Arts
91.11,81.5,23,70.6,83,52.9,79.5,43.3,Commerce
92.89,40.43,19,65.2,46.5,64.9,66.6,36.6,PCB
94.01,77.8,52,55.3,67.9,74.4,91.1,43.8,PCM
90.84,80.6,16,54,57,56.1,72.1,54.4,PCM
78.57,40,14,47.3,73.4,58.1,70.7,30,PCB
88.98,75.84,18,59.1,79.5,56,59.2,45.6,PCM
97.4,77.31,10,60.2,90.1,56.3,86.7,39.4,PCM
91.52,78.08,29,80.1,85.9,95.8,86.5,54,PCM
88.97,79.5,57,49.8,57,45.3,57.9,24.7,PCM
97.14,80.87,12,60.9,47.3,49.9,63.3,49.5,PCB
94.27,74.65,9,53.5,54.6,49.8,63.4,54.4,Commerce
96.75,40.58,18,52,72.3,62.4,61,30.6,PCB
92.48,76.38,59,60.6,79.8,49.6,59.3,23.2,Commerce
96.93,76.48,10,70.3,57.9,58.4,62.4,36.8,PCB
91.87,54.75,51,63.7,44.8,67.1,68.2,43.9,PCB
76.57,72.98,16,72.6,78.6,73.3,77.8,23,PCM
91.88,79.32,19,81.8,71.6,83.5,86.1,48.7,PCB
95.01,74.08,3,48.8,42.8,34.6,62.5,43,PCB
99.22,56.44,64,62.1,47.2,47.6,62.4,33.2,Arts
98.23,81.74,9,42,56.3,20.8,47.2,36.1,PCB
70.85,79.39,53,83,62.4,54.1,71,29.8,PCB
93.37,79.65,48,56.3,83.2,56.2,70.7,29.4,PCB
89.49,78.38,22,51.7,52.4,47.6,61.3,47.1,PCM
83.92,78.16,3,69.5,71,86.2,60,24.3,Commerce
92.79,80.48,85,75.5,52.8,71.2,71.8,30.8,Commerce
95.14,77.98,49,46.5,53,45.1,75.4,25.1,Commerce
97.77,78.02,4,60.3,51.7,39.8,54.1,23,Commerce
97.95,78.9,21,78.6,52.7,53.3,70.6,38.6,PCB 
97.4,75.25,15,54.6,62.8,86.4,76,23,PCB
94.14,84.31,11,46.6,75.4,49.9,49.7,30.7,PCM
67.85,78.11,36,58.4,72.9,54.2,65.3,36.7,Commerce
75.71,76.88,20,47.8,51.5,44.6,67.8,23,PCB
99.22,77.83,69,68.8,46,78.8,79.5,28.9,PCM
87.07,78.17,10,49.6,82.2,44.3,51.2,29.4,PCM
71.55,42.34,15,43.4,53.2,31.3,49.9,64.4,PCB
79.34,78.76,3,58.4,45.6,43.2,45,41.9,Arts
88.14,77.1,29,91.6,77.5,77.2,63.7,28.7,Arts
82.88,82.09,24,50.3,81.6,72.9,81.7,43.8,Commerce
65,44,14,71,46.5,67,71.9,38.7,PCB
95.18,75.55,26,51.5,42.6,87.2,66.3,31.6,Commerce
85.88,78.42,76,49.7,58.7,58.7,39.5,42.6,PCB
82.36,62.35,19,69,31.3,83.7,58.6,23,PCM
99.22,80.24,66,48.3,12.5,28.5,56.6,42.2,Arts
96.55,86.04,22,78.1,52.1,46.2,62.6,25.3,Commerce
94.27,56.9,20,58.6,54,41.4,75,23.9,Commerce
96.57,76.62,18,47,49.2,38.9,50.7,36.5,PCM
97.14,76.91,36,67.4,50.8,55.7,71.2,23,PCM
91.37,80.89,58,52.3,58.1,56.1,58.3,32.5,Commerce
98.46,78.35,55,81.8,82.9,64.6,69.7,30.6,Commerce
93.23,76.66,23,58,76.3,65.9,80.1,27.5,PCM
99.22,44.84,76,53.1,45.6,57.9,76.5,30,PCM
93.32,80.49,3,56.1,51,60.6,85.3,40.1,PCB
86.34,79.09,14,79.8,56.2,68.1,69.3,25,Commerce
88.52,77.07,13,47.1,72,36,65.8,34.8,Commerce
99.22,76.19,68,56.6,79,61,80.1,23,Arts
98.66,75.62,64,68.2,51.5,39.8,63,45.2,Commerce
79.15,78.15,10,62.8,49.7,40.5,69.8,58.2,PCB
91.78,76.52,8,54.4,81.4,48.9,77.6,31.7,Arts
93.45,48.87,34,75.5,61.2,32.7,45.6,34.4,Commerce
95.6,81.22,6,51.2,40.4,42,46.4,40.1,Commerce
91.18,74.92,59,45.9,64.6,68.6,51.9,48.2,PCB
84.23,77.48,19,62,76.2,54.9,71.3,34.3,Commerce
88.73,81.24,20,65.5,49,63.8,64.3,32.1,PCB
94.64,78.05,16,59.9,82.2,51.4,69.7,27.9,PCM
86.38,77.13,27,85,80.9,86.1,70.1,28.2,PCB
89.4,46.78,16,54.2,90.7,35.7,49.6,35.2,Commerce
93.73,77.5,26,42.4,45.2,70.8,55.7,24.9,PCB
75.33,78.54,6,35,32.1,30,66.5,53.9,Commerce
86.14,75.56,15,41.5,51,44.4,71.8,36.7,PCB
92.38,75.41,31,49.2,48.8,52,54.6,35.4,PCM
93.81,78.14,13,64.7,88,32.5,95.5,51,PCB
96.32,76.8,61,48.2,89.3,76.3,86,40.4,Arts
90.14,74.55,5,42.6,69.8,30.9,77.9,40.9,PCB
91.85,73.5,25,42.8,90.6,20,68.9,23,PCB
95.63,80.48,14,48.4,55.8,59.2,60.2,23,Commerce
96.48,76.11,56,63.6,83.2,38.7,83.6,37,Arts
89.23,77.29,12,78.4,92.5,74,94.2,31.8,Arts
88.91,78.57,66,41.3,50.2,45.6,63.6,34.2,Arts
86.45,80.44,21,49.7,45.1,48.2,53.3,55.2,Commerce
92.5,77.07,13,48.9,83.6,41.8,47,36.9,Commerce
85.35,81.09,12,53.5,81.1,65.2,71.2,38.6,Commerce
90.75,74.69,69,71.9,75.6,72.1,82,25.2,PCB
96.34,79.48,30,45.3,64.1,76.3,67.1,46.4,Commerce
92.15,78.01,6,42.3,51.1,54,64.3,50.9,PCM
94.96,45.63,15,68,76.7,73.8,59.5,23.1,Commerce
88.58,79.17,22,58.8,95.2,88.5,46.4,23,PCM
94.9,78.7,3,70.4,60.1,74.1,70,23,Commerce
95.53,80.81,61,57,88.1,90.6,83.1,23,PCM
88.57,75.96,17,46.5,61.3,43.3,29.2,30.4,PCB
93.27,75.27,21,75.1,85.5,45.2,73.6,23,Commerce
90.1,78.27,18,38.4,57.5,28.7,70.6,27.5,PCM
93.07,76.39,72,72.6,92,79.4,70.7,23,PCB
98.51,78.27,71,75.9,77.7,50.2,67.7,23,PCM
95.83,85.9,18,46.9,55.4,24,71.9,28.9,PCM
91.91,77.86,26,56.7,66.4,34.8,58.8,23,Commerce
95.84,77.61,27,59.2,74.5,74.8,81.8,23,Commerce
87.7,76.25,76,46.6,89.1,47.1,73.2,44.3,PCB
92.96,73.98,23,53.2,89.3,60.3,74.1,31.7,PCB
88.47,81.66,71,39.4,52.6,56.4,87.8,23,Commerce
87.12,82.76,14,50.5,63.4,43.7,84.5,61.5,PCM
98.58,75.42,43,60.2,70.9,81.8,62.5,23,Arts
88.67,76.43,35,69.5,78.9,71.2,69.5,27.6,PCM
99.02,75.88,26,72.7,66.1,72,76.9,30.4,PCM
92.07,79.18,77,83.2,64.6,66.1,91,47,Commerce
84.47,78.62,21,54.8,86.8,54.1,66.8,35.6,PCM
99.22,80.23,22,70.4,70.7,66.6,66.1,38.5,PCB
88.24,81.42,4,41,34,47.1,59.1,25.3,PCB
84.37,82.3,75,53.7,64.6,48.3,47.2,58.3,PCM
84.29,77.77,76,63.5,46.7,73.8,80.8,23,Commerce
91.99,79.03,21,57.5,78.2,58.7,73.6,23,Commerce
83.91,76.7,58,44.7,50.6,48.1,55.6,43.9,Commerce
91.72,74.95,24,51.6,77.3,32.4,60.5,29.2,PCM
88.75,74.97,14,42.6,69.3,78.5,62.2,23,PCM
95.7,81.38,11,57.4,56.9,48.3,70.9,42.7,PCB
99.02,79.56,16,49.7,55.2,38.7,79,39.8,PCM
89.61,77.59,17,79.8,85.6,44.3,86.6,24.5,Commerce
95.98,74.92,23,68.9,70.8,64.8,61.5,24.6,Commerce
90.71,78.84,64,46,74.3,41,62.8,29.5,Commerce
92.31,74.64,14,97.6,54.7,58.8,83.8,37.7,PCB
96.7,76.64,50,91.3,60.6,53.8,88.3,27.6,PCM
96.17,75.83,13,55.3,72.6,41.9,80.5,23,Commerce
97.24,45.62,33,47.1,30.1,26.9,65.2,39,Commerce
78.44,58.81,20,52,51.9,57.1,74.7,53.3,Commerce
92.89,81.1,20,45.5,69.8,33.3,63.5,42.1,PCM
98.26,78.18,64,48.4,97.7,44.8,61.7,61.1,Commerce
82.6,81.65,19,55.3,55.2,59.2,72.5,35,PCB
86.19,82.72,8,58.2,83,34.7,50.2,30.6,PCB
86.92,80.14,25,52,68.7,52.2,56.3,66.8,Commerce
94.54,85.15,11,37.5,56.9,53.2,75.7,31.6,PCM
95.81,80.54,67,77.5,97.3,25.6,56.9,37.8,Commerce
86.83,75.4,19,72.3,87.1,85.7,90.7,37.5,Commerce
84.4,76.73,43,98,83.8,65.2,99,36.1,PCB
92.29,78.67,75,68.9,88.3,75.3,78.2,37.7,PCB
87.41,76.69,19,69.9,84.4,47.2,60,24.6,Commerce
90.9,76.02,62,58.9,56.7,61.7,67.5,29.2,Commerce
86.4,76.23,33,78.6,74.7,48.5,88.2,42.1,Commerce
89.46,54.95,74,70.6,40.2,77.4,91.2,40.4,PCM
99.22,77.07,50,35,39.5,37.5,52.1,34.2,PCB
81.66,49.09,10,59.4,87.3,83,65,53.4,PCB
94.26,78.67,22,48.9,50.7,51.5,81.1,26.9,Commerce
88.58,80.69,64,45.7,59,77.9,75.8,48.9,PCB
92.09,80.15,39,56.1,55.7,37.3,73.8,39.3,Commerce
88.25,81.9,12,63.2,48.4,63.4,83.4,23,PCB
93.14,79.86,17,71.7,61.3,46.7,75.6,49.4,Commerce
91.02,78.33,80,77.7,51.1,54.8,73.6,23,PCB
91.33,76.16,22,48,85.6,43.1,81.2,23,Arts
92.49,80.01,68,55.6,52.8,81,66.6,30.8,Commerce
89.61,63.89,15,62.8,52.3,42.2,63.3,44.3,PCM
98.66,77.61,25,65.2,54.6,31.9,71.5,55.6,PCB
99.2,49.1,15,35,64.6,37.1,74.8,25.3,PCB
89.97,75.75,54,35.4,88.6,54.9,54.1,23,PCB
94.48,81.66,67,80.8,67.2,64.6,79.1,23,PCB
86.16,43.53,22,61.1,48.3,49.7,54.3,36.5,PCM
91.18,76.9,35,58.7,71.2,84.2,58.4,43.5,Arts
92.89,80.25,22,68.4,55.4,37.9,64.8,60.5,Commerce
95.64,76.69,36,59.3,63.6,58,74.5,27.3,PCM
96.94,77.67,57,79.4,92.4,82.1,66.7,37.8,PCB
91.1,77.52,75,88.3,67.1,67,86.6,44.6,PCB
68.89,78.84,11,57.4,90.9,43.1,85.8,36.7,Commerce
94.3,80.44,56,79.4,68.7,84.4,83.7,42.1,PCB
95.01,80.88,12,80.8,74.6,51.1,72.9,31.1,PCB
90.41,75.74,23,58.6,87.2,88.3,85.4,23,Commerce
89.19,78.08,50,45,53.5,45.1,44.5,35.3,Commerce
76.75,78.75,83,86,82.1,61.1,64.4,35.9,PCB
84.83,76.28,16,81.7,85.7,59.7,72.2,23,PCM
93.43,76.73,15,95.1,87.3,58.6,91.2,23,Commerce
67.36,76.37,9,61,60.3,65.2,54.5,50.8,PCM
86.92,78.16,21,40.7,60.2,40.7,61.2,23,PCB
91.63,48.69,4,66.8,95.2,37.9,67.7,31.6,PCM
80.34,78.51,25,55.5,69.2,42.2,81.6,47.5,Arts
89.18,78.32,19,48.8,75.1,46.9,75,34.9,PCM
81.14,78.23,15,64.8,50.3,65.6,42,27.3,PCB
88.91,79.06,46,82.2,63.2,38.1,81.3,23,PCB
93.15,77.27,22,55.4,87.1,64.8,55.3,24.1,PCM
89.66,79.6,15,82.1,51.2,63.5,59.3,49.8,PCM
88.52,76.72,27,53.4,86.3,53.2,74.3,41.4,PCB
90.22,79.8,18,69.1,54.9,56.2,73.2,34.3,PCB
96.06,76.55,22,67.7,44.7,57.1,48.8,39,Commerce
99.22,75.52,18,50.8,50,33.7,66.5,25,PCB
92.74,76.7,22,41.4,85.4,25.9,46.9,60.6,PCB
91.73,74.97,9,79.9,79.6,72.4,62.1,23,Commerce
95.39,77.17,65,88.4,29.7,72.8,54.6,26.4,PCM
92.82,74.63,23,58.8,48.4,50.7,60.6,34.2,PCM
90.94,77.6,14,60.3,72.6,22.7,58.8,31,PCM
94.63,76.88,15,67.9,43.3,75.4,58.7,26,PCB
91.02,79.47,17,84.5,83.1,64.3,72.8,23,PCB
88.8,72.52,21,69.6,82.9,90.3,94.7,23,PCM
97.91,44.53,8,71.1,57.4,60.8,81,30.8,PCB
94.28,80.62,30,66,58,78.6,58.5,23,PCB
96.26,76.58,18,77.3,75.8,84,84.4,27.8,PCB
96.48,80.53,29,51.1,79.3,70.1,68.1,29.1,Commerce
83.37,51.55,13,60.4,52.6,50.1,44.6,31.3,PCB
99.22,75.46,27,86.9,67.7,74,76.1,34.9,PCB
97.16,79.19,20,65.3,85.9,63.8,49.8,43.2,PCB
97.79,76.88,23,52.8,53.4,54.9,86.8,37.9,PCM
94.58,80.75,83,39.9,58.4,48.3,60.4,44.6,PCM
68.51,76.97,66,68.5,75.5,67.2,65.9,27.9,Arts
92.87,78.37,23,38.3,54.5,39.3,49.3,59.8,PCB
99.22,75,12,42.1,75.5,28.4,56.1,33.2,PCM
96.46,76.9,20,51.2,45.9,54,91.5,25.6,Commerce
97.16,75.09,9,64.4,60.8,50.1,84.7,23,PCM
96.91,74.55,23,80,47.5,62.8,73.7,28.3,PCM
78.6,75.24,54,54.2,83.9,46.6,64.3,25.5,PCB
88.36,77.39,10,49.4,79.2,50.8,63.4,23.1,PCB
75.01,75.93,8,52.7,51.8,80.7,70.8,42.2,Arts
90.52,80.41,52,62.1,92.3,51.3,73.5,35.6,PCM
86.02,76.5,3,43,71.3,46.4,65,25.2,PCM
85.08,50.92,18,39.4,29.2,37.1,59.6,46.8,Arts
98.77,42.91,15,52.6,56.7,45.2,77.3,29.7,PCB
95.43,76.49,24,70,77,85.4,68.9,23,PCB
80.37,54.76,26,48.1,75.2,61,64.2,28.6,Commerce
86.26,43.5,22,80.4,67,56.7,74.2,36.2,Commerce
98.8,80.14,16,44.7,58.6,39.3,69.7,25.8,PCB
90.7,78.64,9,46.5,41.6,39.9,65.9,23.3,Arts
85.9,77.08,76,89.5,89.2,82.2,45.5,31.1,PCB
79.23,81.77,6,64.1,75.8,56.4,84.2,42.4,Commerce
99,78.86,23,82,71.8,70.3,87.1,33.3,PCB
99.22,78.79,60,57.2,77.6,76.3,91.4,37.8,PCM
96.81,77.46,64,81.1,90.1,58.4,76.3,23,Arts
87.96,77.14,47,70.4,83.1,37.8,66.5,61.2,PCM
92.59,56.68,13,74.7,55.5,54.7,65.7,52.8,PCB
73.51,80.32,62,62.3,81.9,37.4,62.7,52,PCM
95.12,75.72,20,64.4,77.6,89.1,73.9,23,PCM
91.28,82.48,22,70.4,43,63.2,79.5,23.1,Commerce
84.67,75.93,80,81.4,73.7,93.4,76.3,23,Commerce
95.75,81.87,51,70.5,83.8,58,52.9,51.1,Commerce
95.26,74.18,25,64.2,73,64.8,81.8,28.3,PCM
85.43,42.12,10,42.1,41.2,53.6,45.9,46.7,PCB
92.12,79.83,52,58.6,75,64.9,75.5,50.4,PCB
83.3,74.39,26,82.7,89.5,81.8,83.5,30.2,Commerce
88.62,75.63,30,70.8,78.8,66.8,76.9,23,PCM
94.07,76.77,67,70.1,49.5,55.8,71.3,34,PCB
98.22,76.74,29,75.1,70,51.7,80.5,23,PCM
65,78.46,12,48.7,53,21.1,62.2,45.4,Commerce
91.79,44,24,47.1,67.9,45.4,60.8,33.8,Commerce
93.43,75.27,53,70.9,52.3,49.2,65.2,23,PCB
96.72,79.51,18,44.8,78.7,51.2,71.7,41.6,PCM
92.29,77.5,38,64.3,78.9,71.1,59.4,23,Commerce
92.46,80.13,38,63.5,62.5,45.3,42.1,56.7,Arts
87.26,74.77,63,51.6,91,69.5,69,23,PCM
86.57,84.72,3,35,53.1,33.8,58.5,29.6,PCB
97.86,52.47,20,45.2,40.8,40.4,48.3,41.6,Commerce
93.97,81.99,24,54.7,42.7,66.6,53.6,51.8,PCM
84.17,77.71,5,59.1,57.9,40.7,59.5,29.4,PCM
95.33,77.63,34,73.8,20,73.1,50,38.4,PCB
99.22,75.07,66,51.2,86.8,47.7,72,51.7,PCB
89.45,78.94,70,53.8,76.8,53.4,66.5,31.4,Commerce
88.04,74.97,22,70.5,86.8,67.2,64.3,25.9,Commerce
91.25,79.82,20,63.7,55,64.4,60.2,46.2,PCB
95.66,78.74,52,55.9,95.2,59.1,61,24.4,Arts
86.15,77.42,38,65.8,73.7,42.6,54.7,38.9,PCM
90.47,73.82,69,70.5,48.2,61.8,71.9,28.7,PCB
94.84,78.18,69,57.5,75.2,63.3,59.8,39,Arts
94.64,40.36,11,45.7,12.5,49.8,56,32.6,PCB
89.65,78.97,74,55.9,57.6,33.4,49.8,28,Commerce
89.28,80.86,31,74.6,55,75.3,77.7,23.9,PCM
94.63,48.58,50,51.7,60.6,34.9,43.8,49.8,PCM
93.23,73.78,28,68.7,52.8,51.6,66.2,27.8,Commerce
99.22,78.16,36,93.5,86.4,48.8,65.4,66.3,PCB
94.7,78.41,8,74.4,56.1,66.7,80.2,26.8,PCB
89.62,82.21,31,39.8,53.7,37.7,51.3,24.1,PCM
98.4,78.58,33,53.2,69.3,79.1,75.8,23,Commerce
88.54,76.44,20,56.4,51.7,41.6,69,29.7,Commerce
87.63,78.77,22,63.9,89.6,53.8,79.7,23.5,Commerce
80.7,80.12,15,41.7,61.7,52.1,70.3,29.7,PCB
97.67,49.49,15,45.4,26.6,51.7,49.1,23,Commerce
92.72,89.53,23,58.2,58.9,97,59.8,34.5,Commerce
89.24,76.5,15,57.6,95.4,52.3,69.2,50.2,PCB
89.51,76.08,27,73,13.5,68.4,76.7,26.6,PCB
96.09,45.08,47,52.6,40.9,42.2,47.9,37,PCM
90.6,79.94,20,56.5,12.5,43.8,58.4,23,PCB
89.73,75.86,63,75.6,63.2,72.4,70.5,35.2,Commerce
90.9,80.27,13,53.2,78.6,54.5,61.6,45.3,PCM
95.6,82.9,29,74.8,71.5,60.4,80.1,53.6,Commerce
92.91,83.16,18,62.1,58.9,76.3,70.4,31.1,Commerce
94.68,49.62,75,47.6,55.6,47.2,66.4,32.4,PCM
86.46,79.53,47,68,57.8,50.5,68.1,51.5,Commerce
93.73,80.32,11,50.3,50.1,73.3,64.3,39,PCB
79.88,76.86,60,73.9,83.4,62.3,54.4,23,Arts
96.32,44.59,19,45.8,61.8,29,61.9,68,PCB
91.81,75.67,18,81.1,53.4,81.1,45.4,42,PCB
93.2,77.18,18,56.3,70.4,33.4,89.9,25.7,Commerce
94.11,80.59,24,66,81.6,72.3,53.6,43,Arts
93.99,40,18,54.6,59.9,69.7,61.2,54.9,Commerce
75.78,79.24,20,56.8,58.1,67.9,98.3,47.1,PCB
96.55,76.67,20,73.7,71.4,89.9,79.5,23.7,PCB
98.41,76.66,28,59.4,74.4,80.2,88.1,23,Commerce
91.58,74.96,10,64.8,74,68.3,89.5,26.1,PCM
94.49,78.85,4,41.2,68.5,44.2,58.5,23,Commerce
90.89,80.17,21,68.7,68.7,50.4,54.9,33.9,Commerce
90.66,78.5,8,63.5,52.7,37.5,66.2,24,PCM
89.64,99.21,33,51.7,86.2,63.2,78.8,24.6,Arts
87.2,78.19,22,71.6,94.1,69.1,81.6,27.9,Commerce
97.22,75.46,3,60.7,86.8,32.2,67.1,44,PCB
90.8,75.67,18,49,53.2,44.8,63.2,36.3,PCB
88.27,86.07,16,43.2,39.5,40,42.1,56.2,PCB
90.64,80.2,28,67.2,72.4,67.4,65.2,32.8,PCM
93.99,79.59,21,57.9,61.3,58.8,80.6,24,Commerce
88.35,76.89,13,66.8,73.6,54.3,70.1,39.6,PCM
90.64,74.6,3,68.4,49.4,62.4,59.7,45.5,PCM
86.87,73.76,26,73.8,92.6,57.8,53.2,26.8,PCB
98.26,77.54,19,48.9,45.5,25.8,47,23,PCB
95.34,80.72,61,48,76.3,60.6,49.7,46.3,Arts
90.68,75.94,18,40.2,49.9,33.5,64.1,33.3,PCM
93.06,79.4,14,66.2,98,50.1,64.9,25.3,Commerce
96.54,64.45,68,58.3,52,50.7,49.2,42.6,Commerce
94.83,82.62,19,44.3,50.8,50.2,64.8,56.1,PCB
88.06,42.45,18,54,84.3,72.1,80.4,23,Commerce
92.74,48.7,56,50.7,53.8,39.8,58.4,27.9,Arts
96.67,75.96,27,49.3,60.2,59.4,49.8,33.7,Commerce
73.35,40,58,64.6,73,49.6,66.3,35.5,PCB
95.2,60.3,20,45.2,38.3,54.8,62.5,39,PCM
87.1,76.99,15,39.9,74.5,44.7,43.5,34,PCM
91.22,81.46,30,63.3,83,79.1,75.7,32.4,PCM
90.12,75.41,49,71,17.3,55.3,84,28.9,PCM
94.82,75.92,35,68.3,57.2,29.5,73.1,31.1,PCM
85.83,77.17,63,85.3,80.5,60,72.3,35.8,PCB
99.22,40.91,18,43.1,63.5,44.7,65.3,49,Commerce
78.35,76.47,40,56.5,72.7,49.3,61.4,55.7,Commerce
87.28,90.65,23,62.6,51.7,63,42.9,50.2,PCM
95.38,76.95,67,73.5,50.3,44.3,76.4,28.1,PCB
81.63,78.29,25,52.1,86.7,40.8,42.6,37.3,PCB
99.22,47.72,10,59.4,46.2,62.3,86.9,35.9,Arts
93.21,80.76,20,44.7,57.5,81.4,55.4,23,PCB
96.4,77.93,23,42.4,68.9,51.4,70.1,45.9,Commerce
